Engine,RUL,ARIMA_score,MLP_score
56,15,8.974182455,0.360
36,19,6.389056099,243.69
61,21,108.9471725,0.649
84,58,72565487.37,5E+16
3,69,6582991.585,53.60
16,84,1.15E+23,1.60E+10
44,109,2.15E+14,1.460
65,128,2.26E+33,9.40E+23
83,137,4.99E+36,1.54E+26
